书名,作者,出版日期,出版社,原价,售价,折扣比例,排序,排行榜类型,推荐值,电子书价格,评论数
东野圭吾：无名之町（2021年高能新作！神尾大侦探首秀！）,东野圭吾,2021-06-01,南海出版公司,59.0,44.25,0.75,285,2021年,100%,35.4,62321.0
做内心强大的自己―歪歪兔逆商教育系列图画书第二辑（逆商培养挫,歪歪兔关键期早教项目组,2015-01-01,海豚出版社,80.0,40.0,0.5,287,2021年,99.8%,50.4,80921.0
复活（精装大开本，托尔斯泰三部曲之一，草婴翻译，无删节全译本,列夫・托尔斯泰,2019-10-30,时代文艺出版社,73.0,30.7,0.42000000000000004,289,2021年,99.9%,21.8,61475.0
给孩子的史记（套装全四册，全彩注音版，中华优秀出版物奖获奖作,张嘉骅,2019-05-01,青岛出版社,138.0,69.0,0.5,294,2021年,100%,69.7,78282.0
愿望的实现（手绘精美插图，亚洲诺贝尔文学奖得主泰戈尔代表作之,泰戈尔,2019-10-01,浙江工商大学出版社,19.8,8.3,0.42000000000000004,303,2021年,100%,3.1,52400.0
他最野了（全2册）曲小蛐代表作,曲小蛐,2021-01-01,江苏凤凰文艺出版社,68.0,34.0,0.5,304,2021年,100%,52.9,96332.0
一千零一夜（语文教材“快乐读书吧”五年级上册阅读。中国阿拉伯,郅溥浩,2017-08-01,浙江工商大学出版社,27.0,11.3,0.42000000000000004,316,2021年,100%,2.0,63897.0
我的个天（戴教授随笔集，聊聊年轻朋友绕不开的读书、工作、恋爱,戴建业,2023-05-01,广东人民出版社,59.8,29.9,0.5,320,2021年,100%,59.8,79476.0
这世界很烦，但你要很可爱（只要你可爱，这个世界也会变得可爱）,杨红,2020-12-31,水利水电出版社,46.0,42.8,0.93,324,2021年,100%,23.1,77754.0
哈克贝利・费恩历险记（汤姆・索亚历险记续写故事，儿童冒险经典,马克・吐温,2017-08-01,浙江工商大学出版社,29.0,11.3,0.39,327,2021年,100%,4.6,79778.0
下沉年代（“得到”年度好书，许倬云、刘擎、但斌一致推荐！呈现,乔治・帕克,2021-01-01,文汇出版社,108.0,81.0,0.75,330,2021年,100%,30.0,59384.0
欧也妮・葛朗台（青少年读本。原版插图+详尽注释）,巴尔扎克,2018-03-23,浙江工商大学出版社,22.0,3.6,0.16,334,2021年,100%,4.9,42259.0
双城记（狄更斯经典代表作，逝世150周年纪念版！翻译泰斗宋兆霖权,查尔斯・狄更斯,2020-07-01,台海出版社,49.8,12.5,0.25,336,2021年,99.9%,12.9,86314.0
刀锋（毛姆经典哲思之作，苏州大学方华文教授全新修订&详细注释本,毛姆,2018-05-14,时代文艺出版社,38.0,15.2,0.4,337,2021年,99.9%,2.0,88531.0
小飞侠彼得・潘（小女孩小男孩的成长故事，奇幻+幽默+满满的爱。,詹姆斯・巴里,2017-06-01,浙江工商大学出版社,20.0,8.4,0.42000000000000004,340,2021年,100%,2.0,47521.0
人性的因素（张艺兴书单，《向往的生活》推荐！被马尔克斯誉为完,格雷厄姆・格林,2018-11-30,江苏文艺出版社,65.0,32.5,0.5,343,2021年,100%,27.0,45352.0
樊登讲论语：先进（樊登2021年全新重磅作品！）,樊登,2021-01-01,北京联合出版有限公司,68.0,34.0,0.5,344,2021年,100%,41.6,57945.0
给男孩的情绪管理绘本（套装全5册）,乐凡,2021-03-01,青岛出版社,90.0,45.0,0.5,347,2021年,99.9%,33.4,69107.0
漫画讲透孙子兵法(全4册)（130个知识点讲透5000字原文，130场战斗,华杉,2020-04-16,江苏凤凰文艺出版社,147.2,73.6,0.5,349,2021年,100%,71.8,83446.0
大林和小林（中国现代文学史上现实主义童话之一，两种命运的不同,张天翼,2018-12-01,安徽教育出版社,19.8,8.3,0.42000000000000004,360,2021年,100%,3.8,47264.0
道德经 精装珍藏本,老子,2016-06-30,作家出版社,32.8,14.5,0.44000000000000006,369,2021年,100%,11.2,53991.0
声律启蒙（国学启蒙经典系列。 全文注音+详尽注释+韵部略解+佳对,张圣洁,2020-05-30,浙江教育出版社,25.0,10.5,0.42000000000000004,374,2021年,100%,7.3,40459.0
半小时漫画论语（孔子原来这么爱吐槽！看孔子和弟子们卖萌吐槽，,陈磊・半小时漫画团队,2021-09-30,文汇出版社,59.9,29.9,0.5,375,2021年,100%,15.0,72898.0
万物小历史 和爸妈读万物科学简史 给孩子的万物科普绘本 成长,张玉光,2020-06-01,北京联合出版有限公司,40.0,16.0,0.4,382,2021年,100%,6.0,63162.0
半小时漫画世界史2（ 四大文明古国组团出道，为啥只剩中国屹立不,陈磊.半小时漫画团队,2021-06-30,北京日报出版社,49.9,24.9,0.5,383,2021年,100%,11.0,40504.0
湘行散记：沈从文散文精粹（沈从文代表作）,沈从文,2019-04-01,中国友谊出版公司,32.0,13.4,0.42000000000000004,392,2021年,100%,4.2,71410.0
难哄（高人气畅销书作家竹已温柔、治愈口碑代表作！《偷偷藏不住,竹已,2021-01-10,江苏凤凰文艺出版社,48.0,34.5,0.72,398,2021年,100%,39.1,48970.0
暂坐（贾平凹废都后第二部都市题材长篇小说作家出版社）,贾平凹,2020-09-01,作家出版社,58.0,43.5,0.75,410,2021年,99.9%,28.1,81957.0
汪曾祺散文集：人间知味（收录《人间草木》等经典散文）,汪曾祺,2018-02-05,时代文艺出版社,38.0,15.2,0.4,414,2021年,100%,3.0,95838.0
逛动物园是件正经事 向往的生活书单  自然感悟动物园里的博物学宝,花蚀,2020-01-01,商务印书馆,98.0,49.0,0.5,418,2021年,100%,25.0,82553.0
论中国共产党历史(普及本),习近平,2021-02-01,中央文献出版社,26.0,21.2,0.82,419,2021年,100%,5.5,14895.0
小灵通漫游未来（收录《小灵通再游未来》《小灵通三游未来》，张,叶永烈,2019-01-01,中译出版社（原中国对外翻译出版公司）,32.8,17.4,0.53,420,2021年,100%,26.2,51885.0
